Tributary ,Gage,Min Date,Max Date,Percent NA (only something we want to do if we can functionalize this process)
American River,11446500,1/10/1862,12/30/2021,
American River,11427000,1/27/1942,10/25/2021,
Antelope Creek,13131000,5/28/1913,6/13/2022,
Battle Creek,11376550,12/1/1961,3/14/2023,
Bear Creek,11451715,2/2/1992,3/14/2023,
Bear River,11424000,2/4/1928,12/27/2021,
Butte Creek,11390000,1/23/1931,3/14/2023,
Big Chico Creek,11384000,10/1/1930,9/30/1986,
Calaveras River,11308900,2/1/1961,9/30/1990,
Calaveras River,11309500 ,1/1/1907,9/29/1966,
Clear Creek ,11372000,3/1/1941,1/14/2023,
Consumes River,11335000,10/1/1907,1/21/2024,
Cottonwood Creek,11376000,10/1/1940,11/14/2022,
Cow Creek,11374000,10/1/1988,1/19/2024,
Deer Creek,11383500,10/1/1988,1/20/2024,
Elder Creek,11475560,10/1/1988,1/21/2024,
West Branch Feather River,11405200,8/27/1986,9/30/2023,
West Branch Feather River,11405085,4/22/1986,8/29/2023,
North Fork Feather River,11404500,4/1/1911,9/30/2022,
North Fork Feather River,11404330,9/30/1985,9/30/2022,
North Fork Feather River,11403200,9/30/1985,9/30/2022,
North Fork Feather River,11401112,10/1/1968,9/30/2022,
North Fork Feather River,11399500,1/1/1906,9/30/2022,
Middle Fork Feather River,11394000,10/1/1923,9/29/1932,
Middle Fork Feather River,11393500 ,4/1/1941,9/29/1962,
Middle Fork Feather River,11393000 ,10/1/1910,9/29/1927,
Middle Fork Feather River,11392500 ,10/1/1963,3/31/1982,
Middle Fork Feather River,11392100 ,10/1/1968,9/29/1980,
South Fork Feather River,11396200,9/30/1962,9/30/2022,
South Fork Feather River,11395200,10/1/1960,9/30/2022,
South Fork Feather River,11395030,10/1/1927,9/30/2022,
Lower Feather River,11407000,10/1/1901,9/30/2022,
Lower Feather River,11406920,11/16/1967,9/30/2022,
Lower Sacramento River,11447890,12/22/1992,1/19/2024,
Lower Sacramento River,11447905,1/8/1993,1/20/2024,
Lower Sacramento River,11447903,9/19/2001,1/21/2024,
Lower Sacramento River,11447650,10/1/1948,9/30/2015,
Lower-mid Sacramento River,11425500,10/1/1929,1/18/2024,
Lower-mid Sacramento River,11390500,10/1/1938,1/18/2024,
Lower-mid Sacramento River,11389500,4/11/1921,1/18/2024,
Merced River,11268500,10/1/1922,9/29/1966,
Merced River,11268200,10/1/1965,10/8/1974,
Merced River,11266500,10/1/1916,1/21/2024,
Merced River,11265500,4/1/1912,9/29/1917,
Merced River,11264500,8/23/1915,1/21/2024,
Mill Creek,11381500,10/1/1928,10/3/2023,
Mokelumne River,11336930,6/25/2006,1/18/2024,
Paynes Creek,11377500,10/1/1949,10/31/1966,
San Joaquin River,11337190,5/14/1994,1/16/2024,
San Joaquin River,11304810,8/20/1995,1/16/2024,
San Joaquin River,11274550,10/1/1995,1/18/2024,
San Joaquin River,11303500,10/1/1923,1/18/2024,
San Joaquin River,11337190,5/14/1994,1/16/2024,
San Joaquin River,11313460,6/29/2006,1/16/2024,
San Joaquin River,11273400,8/28/2009,1/18/2024,
San Joaquin River,11274000,5/1/1912,1/18/2024,
San Joaquin River,11261500,4/1/1937,1/18/2024,
San Joaquin River,11251000,10/1/1907,1/18/2024,
San Joaquin River Middle fork,11224000,10/27/2009,1/18/2024,
Stanislaus River,11303000,10/1/1940,1/18/2024,
Stony Creek,11387000,2/1/1901,9/29/1978,
Stony Creek,11387200,12/22/1908,9/29/1983,
Stony Creek,11385500,10/1/1933,9/29/1941,
Stony Creek,11384500,10/1/1913,9/29/1934,
Sutter Bypass,11390425,10/1/1960,10/1/1980,
Thomes Creek,11382090,10/1/1977,11/4/1980,
Thomes Creek,11381990,10/1/1967,9/29/1970,
Tuolumne River,11290000,1/1/1895,1/18/2024,
Upper Sacramento River (above Shasta Dam),11342000,10/1/1944,1/18/2024,
Yolo Bypass,11453000,10/1/1939,1/18/2024,
Lower Yuba River,11421000,10/1/1943,1/18/2024,
Lower Yuba River,11418000,10/1/1941,9/30/2022,
North Yuba River,11413517,9/30/2004,9/30/2022,
North Yuba River,11413000,10/1/1930,1/18/2024,
Middle Yuba River,11408880,10/1/1968,10/1/2022,
South Yuba River,11417500,10/1/1940,9/30/2022,
South Yuba River,11417000,4/1/1942,10/11/1972,
